Time,trans_axial,forca,trans_grande,trans_radial,1,2,3,RDP132105,Ref. of axis Actuador axial 10 kN,Number of cycles,LVDT 3,RDP132091,RDP132089,ea,q,Ed_Shoelace,Ed_trapezio,,,
"5:131:7173:429533:429497015,6",5.69638392,0.23976648,5.84333477,0.47410824,3.33080544,1.3132802,2.67719034,0.00986094,1,949999,0.0128107901538462,0.00505107769230769,0.0102968859230769,0.00767398180769231,13.5680072816868,,-0.00151623981250307,,,
"5:131:7173:429533:429497040,6",5.644995,0.16358517,5.78703567,0.47410824,3.31679061,1.29874104,2.62264354,0.00986094,1,949999,0.0127568869615385,0.00499515784615385,0.0100870905384615,0.00754112419230769,9.25702699449885,,-0.000973599775240038,,,
"5:131:7173:429533:429497065,6",5.5943847,0.09915453,5.732272,0.7901804,3.30104361,1.28379424,2.56948824,0.00986094,1,949999,0.0126963215769231,0.00493767015384615,0.00988264707692308,0.00741015861538462,5.61099860602796,,-0.000394348556851027,,,
"5:131:7173:429533:429497090,6",5.55233922,0.05400027,5.69183901,1.14576158,3.28372191,1.27265208,2.53330924,0.01004355,1,949999,0.0126296996538462,0.00489481569230769,0.00974349707692308,0.00731915638461538,3.05579018623893,,-7.42363274020236E-05,,,
"5:131:7173:429533:429497115,6",5.53962176,0.052812,5.68211462,1.20502511,3.26403816,1.26973066,2.52345742,0.01004355,1,949999,0.0125539929230769,0.00488357946153846,0.00970560546153846,0.00729459246153846,2.98854785940237,,0.000177228015892885,,,
"5:131:7173:429533:429497140,6",5.55778956,0.10839663,5.70412245,1.20502511,3.24325212,1.26973066,2.543662,0.00986094,1,949999,0.0124740466153846,0.00488357946153846,0.00978331538461538,0.00733344742307692,6.13399448142337,,0.000787734439217255,,,
"5:131:7173:429533:429497165,6",5.59594194,0.18933102,5.74302001,1.08649805,3.23270163,1.27638878,2.58562964,0.01004355,1,950000,0.0124334678076923,0.00490918761538462,0.00994472938461538,0.0074269585,10.7139440759575,0.00519930498924714,0.00179107013059897,,,
"5:131:7173:429533:429497190,6",5.65200258,0.28201608,5.80238997,0.7901804,3.22750512,1.2898409,2.64201322,0.01004355,1,950000,0.0124134812307692,0.00496092653846154,0.0101615893076923,0.00756125792307692,15.9588455692087,,0.00286740179052527,,,
"5:131:7173:429533:429497215,6",5.70676552,0.39160098,5.86994889,0.53337177,3.22545801,1.30539916,2.70468638,0.00986094,1,950000,0.0124056077307692,0.005020766,0.0104026399230769,0.00771170296153846,22.1600823774686,,0.00382017169509183,,,
"5:131:7173:429533:429497240,6",5.76931466,0.52376301,5.94313772,0.53337177,3.23033958,1.31925892,2.76752652,0.01022616,1,950000,0.012424383,0.00507407276923077,0.0106443327692308,0.00785920276923077,29.638923395623,,0.00441466577324262,,,
